"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT04","WT06","WT11"
"USS0033J01S","LONG LAKE, AK US","2020-01-01",,,"1.20",,"41.0","32","35","27","27","14.1",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-02",,,"0.20",,"41.0","27","30","16","16","14.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-03",,,"0.00",,"40.0","19","26","12","15","14.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-04",,,"0.20",,"41.0","21","24","14","23","14.5",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-05",,,"0.00",,"41.0","15","24","7","17","14.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-06",,,"0.80",,"49.0","23","27","17","27","15.4",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-07",,,"0.30",,"52.0","26","29","22","24","15.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-08",,,"0.00",,"52.0","23","27","21","21","15.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-09",,,"0.00",,"51.0","9","21","3","12","15.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-10",,,"0.00",,"50.0","13","19","5","6","15.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-11",,,"0.00",,"48.0","7","13","2","9","15.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-12",,,"0.00",,"47.0","1","9","-7","-4","15.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-13",,,"0.00",,"46.0","-4","-1","-8","-3","15.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-14",,,"0.00",,"46.0","-1","7","-6","-2","15.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-15",,,"0.00",,"46.0","4","16","-4","15","15.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-16",,,"0.00",,"44.0","13","16","10","10","15.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-17",,,"0.00",,"44.0","6","12","-1","4","15.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-18",,,"0.10",,"46.0","13","18","2","17","15.8",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-19",,,"0.50",,"52.0","19","20","17","20","16.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-20",,,"0.30",,"56.0","24","27","19","27","17.0",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-21",,,"0.10",,"57.0","27","29","25","29","17.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-22",,,"1.10",,"62.0","32","34","29","33","18.2",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-23",,,"1.30",,"59.0","35","39","33","34","18.2",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-24",,,"0.90",,"64.0","32","34","30","33","18.5",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-25",,,"1.40",,"67.0","32","42","28","34","18.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-26",,,"1.40",,"64.0","35","39","33","34","18.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-27",,,"0.70",,"65.0","34","36","33","34","19.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-28",,,"0.90",,"70.0","35","38","32","32","21.0",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-29",,,"1.90",,"66.0","35","39","32","32","21.1",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-30",,,"1.50",,"83.0","32","33","31","31","23.0",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-01-31",,,"0.40",,"85.0","26","32","14","20","23.8",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-01",,,"0.30",,"89.0","23","26","19","24","24.2",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-02",,,"0.00",,"86.0","20","24","16","18","24.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-03",,,"0.20",,"91.0","21","25","17","23","25.0",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-04",,,"1.30",,"90.0","28","33","23","33","25.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-05",,,"0.70",,"85.0","35","42","33","34","25.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-06",,,"0.50",,"80.0","34","37","33","33","26.0",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-07",,,"0.10",,"79.0","27","34","18","25","26.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-08",,,"0.60",,"84.0","31","41","25","40","27.1",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-09",,,"0.30",,"81.0","37","42","32","33","27.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-10",,,"2.80",,"82.0","35","39","33","33","27.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-11",,,"0.30",,"80.0","33","37","31","32","27.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-12",,,"0.90",,"83.0","34","35","32","33","28.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-13",,,"0.30",,"84.0","32","37","26","29","29.2",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-14",,,"0.50",,"89.0","32","35","29","31","30.0",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-15",,,"0.50",,"94.0","31","33","28","33","30.5",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-16",,,"0.30",,"96.0","33","37","27","27","30.8",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-17",,,"0.30",,"96.0","28","32","24","32","31.0",,,,,
